currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,blockHappyResp.rt,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
1,black.png,"Welcome! You are about to play our gambling task.
This task has 3 blocks and takes about 15 minutes.",,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.776612506344463,None,13.776612506344463,None,13.776612506344463,None,4,3.0860242303915584,13.776612506344463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
2,black.png,"In this game, you may win or lose points. Your goal is to get as many points as possible. These points will be converted to a cash bonus at the end.
Sometimes we will ask you to rate your mood.",,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,16.91238001437341,None,16.91238001437341,None,16.91238001437341,None,4,5.085417222637261,16.91238001437341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
3,black.png,"On the next screen, please rate how you feel about your life these days. Use the LEFT (green) and RIGHT (blue) buttons to move the slider (you can press and hold them to slide gradually) and the TOP (red) button to lock in your response.
Make your rating as accurately and quickly as you can!",,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,22.047599711504517,None,22.047599711504517,None,22.047599711504517,None,4,6.936301623658437,22.047599711504517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.000329262509695,None,0.56,9.069213923356074,33.00179126484909,None,4,5.052221865973479,33.00179126484909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
4,black.png,"In this game you can win money by earning points according to your choices. You will decide whether to gamble a number of points or stick with a guaranteed number of points. 
Make your choice by pressing the left or right arrow key once. An example of one trial is shown on the next screen.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.12049663921971,None,38.12049663921971,None,38.12049663921971,None,4,7.25299488091332,38.12049663921971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
5,example_start.png,"The GAMBLING OPTION will be shown on the RIGHT SIDE. 
Select this option using the RIGHT (blue) button on your keypad.",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.43991615165396,None,45.43991615165396,None,45.43991615165396,None,4,9.370361766383212,45.43991615165396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
6,example_gamble.png,"Once you select the gambling choice, the choice you made will remain on the screen.",,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.84350623294995,None,54.84350623294995,None,54.84350623294995,None,4,3.6182980360081274,54.84350623294995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
7,example_win.png,"The outcome you received will then be shown on the screen. In this example , you WON 10 points.",,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.49490683054864,None,58.49490683054864,None,58.49490683054864,None,4,3.3015190233090834,58.49490683054864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
8,example_start.png,"The GUARANTEED OPTION will be shown on the LEFT SIDE. You are 100% guaranteed to gain or lose this amount. In this example, you have a 100% chance of winning 1 point. Select this option using the LEFT (green) button on your keyboard.",,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.84618161083381,None,61.84618161083381,None,61.84618161083381,None,4,5.519032588988921,61.84618161083381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
9,example_certain.png,"Once you select the guaranteed choice, your selection will remain on the screen.",,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.39830172221264,None,67.39830172221264,None,67.39830172221264,None,4,2.9011073331785155,67.39830172221264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
10,black.png,"Please make your choices as fast as possible.
You will be given a break at the end of each block.
Let's play!",,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3326837678378,None,70.3326837678378,None,70.3326837678378,None,4,3.268233751423395,70.3326837678378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.61737712492686,None,space,21.858570072758084,73.61737712492686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
,,,1,1,13.5,,,,,,,,,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4923056887219,None,0.56,7.493597140119164,98.51018697886866,None,None,98.51018697886866,None,102.99517561627181,None,True,True,False,0.56,-0.43999999999999995,-0.43999999999999995,6.6,13.5,6.9,3.45,gamble,win,13.5,13.5,106.02974178011755,None,106.02974178011755,None,106.02974178011755,None,106.02974178011755,None,106.02974178011755,None,106.02974178011755,None,106.02974178011755,None,1,2.4343894052344695,106.02974178011755,None,108.49729390374887,None,108.49729390374887,None,108.49729390374887,None,108.49729390374887,None,108.49729390374887,None,108.49729390374887,None,108.49729390374887,None,112.48218334642115,None,112.48218334642115,None,112.48218334642115,None,112.48218334642115,None,112.48218334642115,None,112.48218334642115,None,112.48218334642115,None,113.48252988801323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
,,,1,1,0.5,,,,,,,,,0,0,0,0,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.56,-0.43999999999999995,-0.8799999999999999,7.039999999999999,0.5,-6.539999999999999,-3.0199999999999996,gamble,win,0.5,14.0,115.49999168044269,None,115.49999168044269,None,115.49999168044269,None,115.49999168044269,None,115.49999168044269,None,115.49999168044269,None,115.49999168044269,None,None,,115.49999168044269,None,118.50114649909847,None,118.50114649909847,None,118.50114649909847,None,118.50114649909847,None,118.50114649909847,None,118.50114649909847,None,118.50114649909847,None,122.48590570868873,None,122.48590570868873,None,122.48590570868873,None,122.48590570868873,None,122.48590570868873,None,122.48590570868873,None,122.48590570868873,None,123.48629160818928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
,,,1,1,12.7,,,,,,,,,0,0,0,0,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.56,-0.43999999999999995,-1.3199999999999998,7.479999999999999,12.7,5.220000000000001,2.6100000000000003,certain,certain,2.6100000000000003,16.61,125.50382475683,None,125.50382475683,None,125.50382475683,None,125.50382475683,None,125.50382475683,None,125.50382475683,None,125.50382475683,None,3,1.2840159530715027,125.50382475683,None,126.82103894641114,None,126.82103894641114,None,126.82103894641114,None,126.82103894641114,None,126.82103894641114,None,126.82103894641114,None,126.82103894641114,None,130.80584071374142,None,130.80584071374142,None,130.80584071374142,None,130.80584071374142,None,130.80584071374142,None,130.80584071374142,None,130.80584071374142,None,140.30947924046268,None,131.80623749266488,None,132.8065712349362,None,0.59,7.502902245832956,135.80770109491823,None,None,135.80770109491823,None,,,,,,,,,,,,,,,,,,,,24252,2019_Dec_11_1635,Mmi_3levels,3.1.5,59.97294164579859,
